(-63.91,0.51)
(57.07,-72.7   )
(-35.25,12.16    )
(-23.34,48.44  )
(36.1,-75.22   )
(-63.71,94.41)
(-73.5,58.67 )
(-21.95,84.23 )
(-37.91,-5.07  )
(-55.53,94.17 )
(-33.87,27.29  )
(99.98,68.64   )
(-96.53,55.92 )
(-26.1,44.95  )
(74.76,-28.64 )
(-55.42,-96.73 )
(-54.24,25.24 )
(5.59,-74.44   )
(15.06,-16.35 )
(7.36,-64.62  )
(91.58,-36.22  )
(93.26,-16.11 )
(88.85,91.26 )
(55.9,61.25   )
(-50.65,-73.45)
(45.87,-33.76)
(15.5,60.82    )
(30.75,-10.43  )
(-90.66,37.86 )
(61.7,-67     )
(47.41,47.54 )
(-47.34,37.85 )
(-67.93,45.78 )
(88.03,21.26   )
(38.52,54.81 )
(77.33,72.35   )
(99.04,-36.15)
(-81.25,0.32   )
(57.51,76.95  )
(29.02,-54.37)
(-15.85,-4.15 )
(72.95,45.15 )
(82.81,81.32  )
(-51.4,64.65   )
(-19.9,-93.14)
(-85.97,98.7  )
(17.01,73.97   )
(9.2,-45.25  )
(-73.79,-69.84)
(69.89,52.49  )
(24.02,12.34 )
(76.04,77.72  )
(6.1,-85.73   )
(87.75,-19.24)
(91.68,66.16   )
(-61.01,-67.95 )
(-94.68,-29.01)
(75.63,-35.32 )
(98.03,-51.61 )
(16.41,-18.59)
(-84.42,32.25 )
(14.76,-4.72 )
(66.52,-16.36  )
(94.09,34.28  )
(55.06,-15.3  )
(-82.83,-34.4  )
(-6.46,30.25   )
(-72.05,-22.35)
(77.17,-4.64  )
(-86.37,-60.14)
(-70.48,-8.33 )
(-11.78,-23.61)
(-87.54,49.79 )
(-71.42,74.18)
(-97.06,-21.52)
(33.62,8.11   )
(-82.55,94.6   )
(8.24,-26.21   )
(60.98,74.97  )
(-34.23,-13.1)
(17.34,-96.08)
(88.04,-72.97 )
(-66.08,47.84 )
(17.43,-0.62  )
(-56.34,-14.31)
(65.64,-1.03)
(30.7,-33.84   )
(59.53,-81.63  )
(80.03,-98.27 )
(-75.83,74.53)
(-60.36,17.18 )
(-48.26,30.15)
(-86.64,-60.06)
(-85.19,91.92)
(51.27,-30.19  )
(64.2,-87.88   )
(-93.46,-47.28)
(73.38,42.97    )
(36.53,22.53   )
(-32.36,51.16 )
(-50.96,-18.45)
(-74.89,70.83 )
(13.73,83.69   )
(-61.71,-90.81 )
(-71.76,73.31 )
(64.45,-74.32  )
(-12.65,36.36 )
(-31.57,39.52 )
(48.48,-77.18 )
(-50.15,57.51 )
(-43.93,55.21 )
(-34.08,62.44 )
(-36.38,56.12 )
(-99.69,46.5 )
(-27.23,70.11 )
(43.44,-59.21 )
(64.92,-28.38 )
(-17.73,22.34 )
(-26.93,94.84 )
(-94.58,30.47 )
(53.81,39.39  )
(77.58,-48.36  )
(-8,94.44     )
(-4.27,26.3    )
(-47.32,-64.95 )
(97.78,23.62   )
(4.41,-12.23   )
(-77.53,10.89   )
(-37.12,62.04 )
(14.98,-99.99  )
(42.16,69.42   )
(-45.42,-82.3  )
(27.8,-65.64   )
(-64.52,-15.1  )
(-61.55,10.39  )
(-36.44,-53.89 )
(28.6,93.45    )
(-49.6,-34.02  )
(-0.37,-39.4    )
(20.48,-11.08  )
(-87.31,-86.24  )
(83.81,-71.02 )
(63.11,67.33   )
(-62.38,53.11 )
(-64.14,-33.42)
(9.66,-81.36    )
(-6.39,-58.15 )
(-68.43,75.47 )
(-53.88,85.44 )
(-61.39,-7.78 )
